Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Hasan BALTACI;KASTAMONU;;Karadeniz;CHP;1978;42;Boyabat;Mühendis;;Evli;1;Ýstanbul ;Jeodezi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Metin ÇELÝK;KASTAMONU;;Karadeniz;AK Parti;1977;43;Kastomonu ;Avukat;;Evli ;2;Afyon Kocatep;Avukat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Çetin ARIK;KAYSERÝ;;Ýç Anadolu;CHP;1971;49;Kayseri;Doktor;;Evli;3;Ýstanbul;Doktor;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Dursun ATAÞ;KAYSERÝ;;Ýç Anadolu;ÝYÝ Parti;1966;54;Kayseri;Asker;;Evli;3;Erciyes;Astsubay ;;;;Erkek;;;;;;;;;;;
Hülya NERGÝS;KAYSERÝ;;Ýç Anadolu;AK Parti;1967;53;Kayseri;Avukat;;Evli ;3;Hava Teknik Ok;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Ýsmail ÖZDEMÝR;KAYSERÝ;;Ýç Anadolu;MHP;1985;35;Eskiþehir;Mühendis;;Evli;1;Ankara;Makine;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmail TAMER;KAYSERÝ;;Ýç Anadolu;AK Parti;1956;64;Þarkýþla;Doktor;;Evli;2;Erciyes;Doktor;Lisans;;;Erkek;;;;;;;;;;;
Ýsmail Emrah KARAYEL;KAYSERÝ;;Ýç Anadolu;AK Parti;1978;42;Ýstanbul;Hukuk;;Evli;3;Atatürk;Avukat;Doktora;Ýngilizce;Almanca, Arapça;Erkek;;;;;;;;;;;
Mehmet ÖZHASEKÝ;KAYSERÝ;;Ýç Anadolu;AK Parti;1957;63;Kayseri;Avukat;;Evli;4;Ankara;Avukat;Lisans;Ýngilzice;Arapça;Erkek;;;;;;;;;;;
Mustafa ELÝTAÞ;KAYSERÝ;;Ýç Anadolu;AK Parti;1957;63;Kayseri ;Ýþinsaný;;Evli ;4;Ýstanbul;Siyasal Bilimler;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mustafa Baki ERSOY;KAYSERÝ;;Ýç Anadolu;MHP;1981;39;Yozgat;Ýþinsaný;;Evli ;4;Ankara;Ýktisat;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Taner YILDIZ;KAYSERÝ;;Ýç Anadolu;AK Parti;1962;58;Yozgat;Mühendis;;Evli ;4;Erciyes;Elektrik;Lisans;Ýngilzice;;Erkek;;;;;;;;;;;
Ahmet ÖNAL;KIRIKKALE;;Ýç Anadolu;CHP;1983;37;Kýrýkkale;Avukat;;Evli;2;Ýstanbul Teknik;Avukat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Halil ÖZTÜRK;KIRIKKALE;;Ýç Anadolu;MHP;1975;45;Kýrýkkale;Avukat;;Evli;2;Kýrýkkale;Avukat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ramazan CAN;KIRIKKALE;;Ýç Anadolu;AK Parti;1970;50;Kýrýkkale;Avukat;;Evli;4;Dokuz Eylül;Avukat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Selahattin MÝNSOLMAZ;KIRKLARELÝ;;Marmara;AK Parti;1970;50;Kýrklareli;Mühendis;;Evli;2;Ýstanbul;Ýnþaat;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Türabi KAYAN;KIRKLARELÝ;;Marmara;CHP;1955;65;Kýrklareli;Mimar, Çiftçi;CHP;Evli;0;Ýstanbul Teknik ;Mimarlýk;Lisans;? ;;Erkek;;;;;;;;;;;
Vecdi GÜNDOÐDU;KIRKLARELÝ;;Marmara;CHP;1969;51;Kýrþehir;Esnaf;SHP;Evli;1;0;0;Lise;0;;Erkek;;;;;;;;;;;
Metin ÝLHAN;KIRÞEHÝR;;Ýç Anadolu;CHP;1972;48;Kýrþehir;Doktor;CHP;Evli;3;Cerrahpaþa;Týp;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Mustafa KENDÝRLÝ;KIRÞEHÝR;;Ýç Anadolu;AK Parti;1975;45;Kýrþehir;Ýþinsaný;AKP;Evli;4;Anadolu;Ýþletme;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet Salih DAL;KÝLÝS;;Güneydoðu Anadolu;AK Parti;1971;49;Kilis;Siyasetçi;AKP;Evli;4;Anadolu;Ýlahiyat;Önlisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Mustafa Hilmi DÜLGER;KÝLÝS;;Güneydoðu Anadolu;AK Parti;1962;58;Kilis;Bürokrat;AKP;Evli;2;Ankara;Siyasal Bilgiler;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Cemil YAMAN;KOCAELÝ;;Marmara;AK Parti;1970;50;Aðrý;Siyasetçi;FP;Evli;4;Newport;Ýþletme;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Emine ZEYBEK;KOCAELÝ;;Marmara;AK Parti;1967;53;Trabzon;Avukat;AKP;Evli;2;Ankara;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Fikri IÞIK;KOCAELÝ;;Marmara;AK Parti;1965;55;Gümüþhane;Öðretmen;AKP;Evli;4;ODTÜ;Matematik Öðretmenliði;Lisans;Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Haydar AKAR;KOCAELÝ;;Marmara;CHP;1963;57;Kocaeli;Biliþimci;CHP;Evli;2;ODTÜ;Matematik;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýlyas ÞEKER;KOCAELÝ;;Marmara;AK Parti;1960;60;Erzurum;Mühendis;AKP;Evli;3;YTÜ;Harita Kadastro Mühendisliði;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Lütfü TÜRKKAN;KOCAELÝ;;Marmara;ÝYÝ Parti;1959;61;Ýstanbul;Yönetici;MHP;Evli;4;Doce Golcev Üniversitesi ;Türkoloji;Yükseklisans;Ýngilizce, Rusça;;Erkek;;;;;;;;;;;
Mehmet Akif YILMAZ;KOCAELÝ;;Marmara;AK Parti;1975;45;Ankara;Öðretmen;AKP;Evli;2;Sakarya;Ýlahiyat;Yükseklisans;Almanca, Arapça;;Erkek;;;;;;;;;;;
Ömer Faruk GERGERLÝOÐLU;KOCAELÝ;;Marmara;HDP;1965;55;Isparta;Doktor;HDP;Evli;3;Anadolu;Týp;Doktora;Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Radiye Sezer KATIRCIOÐLU;KOCAELÝ;;Marmara;AK Parti;1965;55;Malatya;Sivil Toplum Yöneticisi;AKP;Evli;2;Atýlým;Kamu yönetimi ve siyaset bilimi;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Saffet SANCAKLI;KOCAELÝ;;Marmara;MHP;1966;54;Sýrbistan;Sporcu;MHP;Evli;2;0;0;Lise;Sýrpça, Hýrvatça, Boþnakça, Ýngilizce, Rusça, Bulgarca;;Erkek;;;;;;;;;;;
Sami ÇAKIR;KOCAELÝ;;Marmara;AK Parti;1958;62;Trabzon;Bankacý;AKP;Evli;3;Atatürk;Tarih;Lisans;?;;Erkek;;;;;;;;;;;
Tahsin TARHAN;KOCAELÝ;;Marmara;CHP;1964;56;Gümüþhane;Ýþinsaný;SHP;Evli;3;Açýk Öðretim ;Yerel Yönetimler;Yüksekokul;Ýngilizce;;Erkek;;;;;;;;;;;
Abdulkadir KARADUMAN;KONYA;;Ýç Anadolu;Saadet P;1992;28;Malatya;Siyasetçi;SP;Bekar;0;Ýnönü Üniversitesi;Siyaset Bilimi ve Kamu Yönetimi ;Lisans;Ýngilizce, Farsça;;Erkek;;;;;;;;;;;
Abdullah AÐRALI;KONYA;;Ýç Anadolu;AK Parti;1969;51;Konya;Doktor;AKP;Evli;4;Selçuk;Týp;Doktora;Kürtçe, Ýngilizce;;Erkek;;;;;;;;;;;
Abdüllatif ÞENER;KONYA;;Ýç Anadolu;CHP;1954;66;Sivas;Akademisyen;RP;Evli;4;Gazi;Maliye;Doktora;Fransýzca, Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet SORGUN;KONYA;;Ýç Anadolu;AK Parti;1970;50;Konya;Avukat;AKP;Evli;6;Ýstanbul;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Esin KARA;KONYA;;Ýç Anadolu;MHP;1976;44;Ýstanbul;Muhasebeci;MHP;Evli;1;Selçuk;Ýþletme;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Fahrettin YOKUÞ;KONYA;;Ýç Anadolu;ÝYÝ Parti;1958;62;Konya;Muhasebeci;ÝYÝ;Evli;2;Anadolu;Ýþ Ýdaresi;Lisans;?;;Erkek;;;;;;;;;;;
Gülay SAMANCI;KONYA;;Ýç Anadolu;AK Parti;1977;43;Norveç;Avukat;AKP;Evli;1;Selçuk;Hukuk;Lisans;?;;Kadýn;;;;;;;;;;;
Hacý Ahmet ÖZDEMÝR;KONYA;;Ýç Anadolu;AK Parti;1961;59;Konya;Akademisyen;AKP;Evli;3;Þam Arap Dili Enstitüsü;Ýlahiyat;Doktora;Arapça, Ýngilizce, Farsça;;Erkek;;;;;;;;;;;
Halil ETYEMEZ;KONYA;;Ýç Anadolu;AK Parti;1965;55;Artvin;Öðretmen;AKP;Evli;3;Ýnönü Üniversitesi;Eðitim Yönetimi;Yükseklisans;Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Leyla ÞAHÝN USTA;KONYA;;Ýç Anadolu;AK Parti;1973;47;Ýstanbul;Doktor;AKP;Evli;2;Viyana Medizinische Universität;Týp;Doktora;Almanca, Ýngilizce;;Kadýn;;;;;;;;;;;
Mustafa KALAYCI;KONYA;;Ýç Anadolu;MHP;1960;60;Konya;Muhasebeci;MHP;Evli;2;Uludað ;Çalýþma Ekonomisi ve Endüstriyel Ýliþkiler;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Orhan ERDEM;KONYA;;Ýç Anadolu;AK Parti;1963;57;Konya;Ýþinsaný;AKP;Evli;3;Dokuz Eylül;Ýþletme;Yüksekokul;Ýngilizce;;Erkek;;;;;;;;;;;
Selman ÖZBOYACI;KONYA;;Ýç Anadolu;AK Parti;1989;31;Konya;Mühendis;AKP;Evli ;2;ÝTÜ;Ýnþaat Mühendisliði;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Tahir AKYÜREK;KONYA;;Ýç Anadolu;AK Parti;1959;61;Konya;Avukat;RP;Evli;3;Ankara;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Ziya ALTUNYALDIZ;KONYA;;Ýç Anadolu;AK Parti;1963;57;Konya;Bürokrat;AKP;Evli ;2;Ýstanbul;Hukuk;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet ERBAÞ;KÜTAHYA;;Ege;MHP;1966;54;Yozgat;Bürokrat;MHP;Bekar;0;Ankara;Dil ve Tarih.Coðrafya;Lisans;Ýngilizce, Fransýzca, Kýrgýzca;;Erkek;;;;;;;;;;;
Ahmet TAN;KÜTAHYA;;Ege;AK Parti;1965;55;Kütahya;Muhasebeci;AKP;Evli;3;Dokuz Eylül;Maliye;Lisans;Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Ali Fazýl KASAP;KÜTAHYA;;Ege;CHP;1965;55;Kütahya;Doktor;CHP;Evli;2;Dokuz Eylül;Týp;Doktora;Ýngilizce, Fransýzca;;Erkek;;;;;;;;;;;
Ceyda ÇETÝN ERENLER;KÜTAHYA;;Ege;AK Parti;1975;45;Kütahya;Ýþinsaný;AKP;Evli;2;Dumlupýnar ;Makine Mühendisliði;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Ýshak GAZEL;KÜTAHYA;;Ege;AK Parti;1980;40;Kütahya;Avukat;AKP;Evli;1;Ýstanbul;Hukuk;Lisans;Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Ahmet ÇAKIR;MALATYA;;Doðu Anadolu;AK Parti;1964;56;Malatya;Ýþinsaný;AKP;Evli;2;Anadolu;Ýktisat;Lisans;Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Bülent TÜFENKCÝ;MALATYA;;Doðu Anadolu;AK Parti;1966;54;Malatya;Avukat;AKP;Evli;2;Ankara;Hukuk;Yükseklisans;Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Hakan KAHTALI;MALATYA;;Doðu Anadolu;AK Parti;1966;54;Malatya;Ýþinsaný;AKP;Evli;3;Okan, Anadolu;Yerel Yönetimler, Uluslararasý Ýliþkiler;Lisans;Kürtçe, Ýngilizce, Arapça;;Erkek;;;;;;;;;;;
Mehmet Celal FENDOÐLU;MALATYA;;Doðu Anadolu;MHP;1961;59;Malatya;Ýþinsaný;MHP;Evli;1;0;0;Lise;Ýngilizce;;Erkek;;;;;;;;;;;
Öznur ÇALIK;MALATYA;;Doðu Anadolu;AK Parti;1965;55;Malatya;Eczacý;AKP;Evli;2;Marmara ;Eczacýlýk;Lisans;Ýngilizce ;;Kadýn;;;;;;;;;;;
Veli AÐBABA;MALATYA;;Doðu Anadolu;CHP;1968;52;Malatya;Siyasetçi;SHP;Evli;2;Anadolu;Ýþletme;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet Vehbi BAKIRLIOÐLU;MANÝSA;;Ege;CHP;1974;46;Manisa;Sivil Toplum Yöneticisi;CHP;Evli;2;Hacettepe ;Ýstatistik;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Bekir BAÞEVÝRGEN;MANÝSA;;Ege;CHP;1975;45;Manisa;Esnaf;CHP;Evli ;2;0;0;Lise;0;;Erkek;;;;;;;;;;;
Erkan AKÇAY;MANÝSA;;Ege;MHP;1961;59;Burdur;Bürokrat;MHP;Evli;2;Gazi;Kamu Yönetimi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmail BÝLEN;MANÝSA;;Ege;AK Parti;1961;59;Muþ;Avukat;RP;Evli;3;Ýstanbul Üniversitesi;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet Ali ÖZKAN;MANÝSA;;Ege;AK Parti;1971;49;Manisa;Avukat;RP;Evli;2;Selçuk;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Murat BAYBATUR;MANÝSA;;Ege;AK Parti;1978;42;Manisa;Ýþinsaný;RP;Evli;2;Anadolu;Ýþletme;Lisans;Almanca;;Erkek;;;;;;;;;;;
Özgür ÖZEL;MANÝSA;;Ege;CHP;1974;46;Manisa;Eczacý;CHP;Evli;1;Ege;Eczacýlýk;Lisans;Almanca, Ýngilizce;;Erkek;;;;;;;;;;;
Semra KAPLAN KIVIRCIK;MANÝSA;;Ege;AK Parti;1976;44;Manisa;Ýþinsaný;AKP;Evli;2;Celal Bayar;Ýktisat;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Tamer AKKAL;MANÝSA;;Ege;AK Parti;1974;46;Manisa;Ýþinsaný;AKP;Evli;1;0;0;Lise;0;;Erkek;;;;;;;;;;;
Uður AYDEMÝR;MANÝSA;;Ege;AK Parti;1967;53;Manisa;Muhasebeci;AKP;Evli;3;Uludað;Ýktisat;Lisans;0;;Erkek;;;;;;;;;;;
Cengiz DEMÝRKAYA;MARDÝN;;Güneydoðu Anadolu;AK Parti;1968;52;Mardin;Ýþinsaný;AKP;Evli;4;Çukurova;Eðitim Fakültesi;Lisans;0;;Erkek;;;;;;;;;;;
Ebrü GÜNAY;MARDÝN;;Güneydoðu Anadolu;HDP;1982;38;Bingöl;Avukat;HDP;Bekar;0;Dicle;Hukuk;Yükseklisans;Kürtçe, Ýngilizce;;Kadýn;;;;;;;;;;;
Mithat SANCAR;MARDÝN;;Güneydoðu Anadolu;HDP;1963;57;Mardin;Akademisyen;HDP;Evli;1;Ankara;Hukuk;Doktora;Almanca, Arapça, Ýngilizce, Kürtçe;;Erkek;;;;;;;;;;;
Pero DUNDAR;MARDÝN;;Güneydoðu Anadolu;HDP;1971;49;Mardin;Siyasetçi;DTP;?;?;0;0;Lise;Kürtçe;;Kadýn;;;;;;;;;;;
Þeyhmus DÝNÇEL;MARDÝN;;Güneydoðu Anadolu;AK Parti;1966;54;Mardin;Mimar;AKP;Evli;4;Dicle;Mimarlýk;Lisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Tuma ÇELÝK;MARDÝN;;Güneydoðu Anadolu;Baðýmsýz;1966;54;Mardin;Sivil Toplum Yöneticisi;HDP;Evli;4;Anadolu;Ýktisat;Lisans;Almanca, Ýngilizce, Kürtçe, Süryanice;;Erkek;;;;;;;;;;;
Ali Cumhur TAÞKIN;MERSÝN;;Akdeniz;AK Parti;1967;53;Mersin;Mühendis;AKP;Evli;3;Ýstanbul;Orman Mühendisliði;Yükseklisans;Almanca;;Erkek;;;;;;;;;;;
Ali Mahir BAÞARIR;MERSÝN;;Akdeniz;CHP;1975;45;Mersin;Avukat;CHP;Evli;2;Marmara;Hukuk;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Alpay ANTMEN;MERSÝN;;Akdeniz;CHP;1969;51;Mersin;Avukat;CHP;Evli;2;Ankara;Hukuk;Yükseklisans;0;;Erkek;;;;;;;;;;;
Baki ÞÝMÞEK;MERSÝN;;Akdeniz;MHP;1969;51;Mersin;Mühendis;MHP;Evli;3;YTÜ;Harita Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Behiç ÇELÝK;MERSÝN;;Akdeniz;ÝYÝ Parti;1955;65;Mersin;Bürokrat;MHP;Evli;3;Ankara;Ýktisat - Maliye;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Cengiz GÖKÇEL;MERSÝN;;Akdeniz;CHP;1965;55;Mersin;Ýþinsaný;CHP;Evli;2;0;0;Ortaokul;0;;Erkek;;;;;;;;;;;
Fatma KURTULAN;MERSÝN;;Akdeniz;HDP;1964;56;Kahramanmaraþ;Sivil Toplum Yöneticisi;DTP;Evli;0;0;0;Lise;0;;Kadýn;;;;;;;;;;;
Hacý ÖZKAN;MERSÝN;;Akdeniz;AK Parti;1963;57;Adýyaman;Esnaf;AKP;Evli;3;Anadolu;.;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Olcay KILAVUZ;MERSÝN;;Akdeniz;MHP;1985;35;Niðde;Öðretmen;MHP;Evli;2;Niðde;BESYÖ;Lisans;0;;Erkek;;;;;;;;;;;
Rýdvan TURAN;MERSÝN;;Akdeniz;HDP;1971;49;Tokat;Doktor;HDP;Evli;1;Uludað;Týp;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Zeki Hakan SIDALI;MERSÝN;;Akdeniz;ÝYÝ Parti;1969;51;Ýstanbul;Ýþinsaný;ÝYÝ;Evli;1;Boðaziçi;Ýþletme;Lisans;Almanca, Ýngilizce, Ýspanyolca, Ýtalyanca;;Erkek;;;;;;;;;;;
Zeynep GÜL YILMAZ;MERSÝN;;Akdeniz;AK Parti;1976;44;Mersin;Avukat;AKP;Evli;2;Ankara;Hukuk;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Burak ERBAY;MUÐLA;;Ege;CHP;1978;42;Muðla;Avukat;CHP;Evli;1;Yeditepe;Hukuk;Lisans;Almanca, Ýngilizce;;Erkek;;;;;;;;;;;
Mehmet Yavuz DEMÝR;MUÐLA;;Ege;AK Parti;1953;67;Muðla;Bürokrat;DYP;Evli;2;Ankara;DTCF;Lisans;Almanca;;Erkek;;;;;;;;;;;
Metin ERGUN;MUÐLA;;Ege;ÝYÝ Parti;1963;57;Muðla;Akademisyen;ÝYÝ;Evli;2;Atatürk;Türk Dili ve Edebiyatý;Doktora;Farsça, Ýngilizce, Rusça;;Erkek;;;;;;;;;;;
Mürsel ALBAN;MUÐLA;;Ege;CHP;1970;50;Erzurum;Ýþinsaný;CHP;Evli;3;0;0;Ortaokul;0;;Erkek;;;;;;;;;;;
Suat ÖZCAN;MUÐLA;;Ege;CHP;1960;60;Muðla;Öðretmen;CHP;Evli;2;Anadolu;Ýktisat;Lisans;0;;Erkek;;;;;;;;;;;
Süleyman GÝRGÝN;MUÐLA;;Ege;CHP;1962;58;Muðla;Sendikacý;CHP;Evli;2;Anadolu;Ýþletme;Yükseklisans;0;;Erkek;;;;;;;;;;;
Yelda EROL GÖKCAN;MUÐLA;;Ege;AK Parti;1976;44;Tekirdað;Ýþinsaný;AKP;Evli;1;Anadolu;Kamu Yönetimi;Yükseklisans;0;;Kadýn;;;;;;;;;;;
Gülüstan KILIÇ KOÇYÝÐÝT;MUÞ;;Doðu Anadolu;HDP;1979;41;Tunceli;Hemþire;HDP;Evli;2;Dokuz Eylül;Adalet MYO;Önlisans;0;;Kadýn;;;;;;;;;;;
Mehmet Emin ÞÝMÞEK;MUÞ;;Doðu Anadolu;AK Parti;1964;56;Muþ;Mühendis;AKP;Evli;2;Fýrat;Ýnþaat Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mensur IÞIK;MUÞ;;Doðu Anadolu;BAÐIMSIZ;1975;45;Muþ;Avukat;HDP;Evli;2;Dicle;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Þevin COÞKUN;MUÞ;;Doðu Anadolu;HDP;1980;40;Muþ;Gazeteci;HDP;?;?;Yakýndoðu;Gazetecilik;Lisans;0;;Kadýn;;;;;;;;;;;
Faruk SARIASLAN;NEVÞEHÝR;;Ýç Anadolu;CHP;1953;67;Nevþehir;Avukat;CHP;Evli;2;Ankara;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Mustafa AÇIKGÖZ;NEVÞEHÝR;;Ýç Anadolu;AK Parti;1971;49;Nevþehir;Eczacý;AKP;Evli;2;Anadolu;Eczacýlýk;Lisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Yücel MENEKÞE;NEVÞEHÝR;;Ýç Anadolu;AK Parti;1963;57;Nevþehir;Ýþinsaný;AKP;Evli;3;Anadolu;ÝÝBF;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ömer Fethi GÜRER;NÝÐDE;;Ýç Anadolu;CHP;1957;63;Niðde;Sendikacý;SODEP;Evli;2;Çukurova;Endüstri Mühendisliði;Lisans;0;;Erkek;;;;;;;;;;;
Selim GÜLTEKÝN;NÝÐDE;;Ýç Anadolu;AK Parti;1979;41;Niðde;Eczacý;AKP;Evli;1;Anadolu;Eczacýlýk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Yavuz ERGUN;NÝÐDE;;Ýç Anadolu;AK Parti;1974;46;Niðde;Ýþinsaný;AKP;Evli;3;Ýnönü;Kimya Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Cemal ENGÝNYURT;ORDU;;Karadeniz;DP;1965;55;Ordu;Siyasetçi;MÇP;Evli;2;Anadolu;Ýktisat;Lisans;0;;Erkek;;;;;;;;;;;
Ergün TAÞCI;ORDU;;Karadeniz;AK Parti;1974;46;Ordu;Avukat;AKP;Evli;2;Ankara;Ýlahiyat;Yükseklisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Metin GÜNDOÐDU;ORDU;;Karadeniz;AK Parti;1973;47;Ordu;Ýþinsaný;BBP;Evli;3;Anadolu;Ýþletme;Lisans;0;;Erkek;;;;;;;;;;;
Mustafa ADIGÜZEL;ORDU;;Karadeniz;CHP;1967;53;Ordu;Doktor;CHP;Evli;2;Ýstanbul Üniversitesi;Eczacýlýk;Yükseklisans;0;;Erkek;;;;;;;;;;;
Seyit TORUN;ORDU;;Karadeniz;CHP;1968;52;Ordu;Siyasetçi;CHP;Evli;1;Atatürk;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Þenel YEDÝYILDIZ;ORDU;;Karadeniz;AK Parti;1953;67;Samsun;Doktor;AKP;Evli;2;Atatürk;Týp;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Baha ÜNLÜ;OSMANÝYE;;Akdeniz;CHP;1955;65;Osmaniye;Bürokrat;CHP;Evli;2;ÝTÜ;Elektrik Elektronik Mühendisliði;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Devlet BAHÇELÝ;OSMANÝYE;;Akdeniz;MHP;1948;72;Osmaniye;Akademisyen;MÇP;Bekar;0;Ankara;Dýþ Ticaret;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmail KAYA;OSMANÝYE;;Akdeniz;AK Parti;1983;37;Osmaniye;Ýþinsaný;AKP;Evli;2;Ýnönü;Ýktisat;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mücahit DURMUÞOÐLU;OSMANÝYE;;Akdeniz;AK Parti;1965;55;Osmaniye;Bürokrat;AKP;Evli;3;Anadolu;Ýþletme;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Hayati YAZICI;RÝZE;;Karadeniz;AK Parti;1952;68;Rize;Avukat;AKP;Evli;2;Ýstanbul Üniversitesi;Hukuk;Yükseklisans;0;;Erkek;;;;;;;;;;;
Muhammed AVCI;RÝZE;;Karadeniz;AK Parti;1980;40;Rize;Ýþinsaný;AKP;Evli;1;Celal Bayar;Tarih;Lisans;0;;Erkek;;;;;;;;;;;
Osman Aþkýn BAK;RÝZE;;Karadeniz;AK Parti;1966;54;Ýstanbul;Mühendis;AKP;Evli;4;ÝTÜ;Makine Mühendisliði;Yükseklisans;Almanca, Farsça, Ýngilizce;;Erkek;;;;;;;;;;;
Ali Ýhsan YAVUZ;SAKARYA;;Marmara;AK Parti;1969;51;Trabzon;Avukat;AKP;Evli;4;Ýstanbul Üniversitesi;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Çiðdem ERDOÐAN ATABEK;SAKARYA;;Marmara;AK Parti;1981;39;Ýstanbul;Öðretmen;AKP;Evli;2;Abant Ýzzet Baysal;Fizik ve Ýngilizce Öðretmenliði;Yükseklisans;Almanca, Ýngilizce;;Kadýn;;;;;;;;;;;
Engin ÖZKOÇ;SAKARYA;;Marmara;CHP;1962;58;Sakarya;Ýþinsaný;CHP;Bekar;0;Anadolu;Ýþletme;Lisans;0;;Erkek;;;;;;;;;;;
Kenan SOFUOÐLU;SAKARYA;;Marmara;AK Parti;1984;36;Sakarya;Sporcu;AKP;Evli;1;0;0;.;Almanca, Ýngilizce;;Erkek;;;;;;;;;;;
Muhammed Levent BÜLBÜL;SAKARYA;;Marmara;MHP;1980;40;Sakarya;Avukat;MHP;Evli;1;Çankaya;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Recep UNCUOÐLU;SAKARYA;;Marmara;AK Parti;1970;50;Sakarya;Mühendis;AKP;Evli;2;Ýstanbul Üniversitesi;Ýnþaat Mühendisliði;Yükseklisans;0;;Erkek;;;;;;;;;;;
Ümit DÝKBAYIR;SAKARYA;;Marmara;ÝYÝ Parti;1968;52;Sakarya;Ýþinsaný;ÝYÝ;Evli;2;0;0;Lise;0;;Erkek;;;;;;;;;;;
Ahmet DEMÝRCAN;SAMSUN;;Karadeniz;AK Parti;1954;66;Samsun;Doktor;AKP;Evli;6;Atatürk;Týp;Yükseklisans;Arapça, Ýngilizce;;Erkek;;;;;;;;;;;
Bedri YAÞAR;SAMSUN;;Karadeniz;ÝYÝ Parti;1963;57;Gümüþhane;Ýþinsaný;MHP;Evli;4;Gazi ;Mimarlýk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
