Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Rýza POSACI;AYDIN;;Ege;AK Parti;1963;57;Aydýn;Mühendis;;Evli;2;Ege;Ziraat;Lisans;?;;Erkek;;;;;;;;;;;
Süleyman BÜLBÜL;AYDIN;;Ege;CHP;1964;56;Denizli;Avukat;;Evli;2;Ýstanbul;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Adil ÇELÝK;BALIKESÝR;;Marmara;AK Parti;1968;52;Balýkesir;Avukat;;Evli;3;Dokuz Eylül;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet AKIN;BALIKESÝR;;Marmara;CHP;1973;47;Balýkesir;Siyasetçi;;Evli;2;Beykent;Sosyal Bilimler;Yükseklisans;Ýngilizce;Ýspanyolca;Erkek;;;;;;;;;;;
Belgin UYGUR;BALIKESÝR;;Marmara;AK Parti;1977;43;Balýkesir;Avukat;;Evli;3;Ýstanbul;Hukuk;Lisans;Arapça;Ýngilizce;Kadýn;;;;;;;;;;;
Ensar AYTEKÝN;BALIKESÝR;;Marmara;CHP;1972;48;Ardahan;Siyasetçi;;Evli;2;Anadolu;Ýktisat;Önlisans;Ýngilizce;;Erkek;;;;;;;;;;;
Fikret ÞAHÝN;BALIKESÝR;;Marmara;CHP;1968;52;Sivas;Doktor;;Evli;2;Dokuz Eylül;Týp;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmail OK;BALIKESÝR;;Marmara;BAÐIMSIZ;1964;56;Balýkesir;Öðretmen;;Evli;2;Enstitü;Eðitim;Önlisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mustafa CANBEY;BALIKESÝR;;Marmara;AK Parti;1975;45;Balýkesir;Gazeteci;;Evli;2;Ýstanbul;Sosyal Bilimler;Doktora;?;;Erkek;;;;;;;;;;;
Pakize Mutlu AYDEMÝR;BALIKESÝR;;Marmara;AK Parti;1967;53;Balýkesir;Avukat;;?;?;Dokuz Eylül;Hukuk;Lisans;Ýngilizce;Ýtalyanca;Kadýn;;;;;;;;;;;
Yavuz SUBAÞI;BALIKESÝR;;Marmara;AK Parti;1961;59;Balýkesir;Ýþinsaný;;Evli;3;Marmara;Ýþletme;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Aysu BANKOÐLU;BARTIN;;Karadeniz;CHP;1989;31;Bartýn;Avukat;;Bekar;;Koç;Hukuk;Yükseklisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Yýlmaz TUNÇ;BARTIN;;Karadeniz;AK Parti;1971;49;Bartýn;Avukat;;Evli;3;Ýstanbul;Hukuk;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ayþe ACAR BAÞARAN;BATMAN;;Güneydoðu Anadolu;HDP;1985;35;Batman;Avukat;;Evli;0;Dokuz Eylül;Hukuk;Lisans;Ýngilizce;Kürtçe;Kadýn;;;;;;;;;;;
Feleknas UCA;BATMAN;;Güneydoðu Anadolu;HDP;1976;44;Almanya;Siyasetçi;;Bekar;0;Almanya;Siyasal;Açýk Öðretim;Almanca;Kürtçe;Kadýn;;;;;;;;;;;
Mehmet Ruþtu TÝRYAKÝ;BATMAN;;Güneydoðu Anadolu;HDP;1971;49;Diyarbakýr;Avukat;;Evli;2;Ankara;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Necdet ÝPEKYÜZ;BATMAN;;Güneydoðu Anadolu;HDP;1964;56;Diyarbakýr;Doktor;;Evli;3;Akdeniz;Týp;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Ziver ÖZDEMÝR;BATMAN;;Güneydoðu Anadolu;AK Parti;1965;55;Batman;Ýþinsaný;;Evli;5;?;;;Kürtçe;Ýngilizce;Erkek;;;;;;;;;;;
Fetani BATTAL;BAYBURT;;Karadeniz;AK Parti;1963;57;Bayburt;Öðretmen;;Evli;3;Atatürk;Eðitim;Lisans;?;;Erkek;;;;;;;;;;;
Selim YAÐCI;BÝLECÝK;;Marmara;AK Parti;1966;54;Bilecik;Hakim;;Evli;2;Ankara;Hukuk;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Yaþar TÜZÜN;BÝLECÝK;;Marmara;CHP;1966;54;Bilecik;Ýþinsaný;;Evli;2;Lise;;;Fransýzca;;Erkek;;;;;;;;;;;
Cevdet YILMAZ;BÝNGÖL;;Doðu Anadolu;AK Parti;1967;53;Bingöl;Bürokrat;;Evli;2;Bilkent;Siyasal;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Erdal AYDEMÝR;BÝNGÖL;;Doðu Anadolu;HDP;1968;52;Bingöl;Avukat;;Evli;4;Ýstanbul;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Feyzi BERDÝBEK;BÝNGÖL;;Doðu Anadolu;AK Parti;1957;63;Bingöl;Siyasetçi;;?;?;.;.;.;.;;Erkek;;;;;;;;;;;
Cemal TAÞAR;BÝTLÝS;;Doðu Anadolu;AK Parti;1963;57;Bitlis;Bürokrat;;Evli;7;Gazi;Eðitim;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mahmut Celadet GAYDALI;BÝTLÝS;;Doðu Anadolu;HDP;1951;69;Bitlis;Ýþinsaný;;Evli;2;Newcastle;Mühendis;Yükseklisans;Ýngilizce;Kürtçe;Erkek;;;;;;;;;;;
Vahit KÝLER;BÝTLÝS;;Doðu Anadolu;AK Parti;1966;54;Bitlis;Siyasetçi;;Evli;4;?;Ýktisat;Lisans;?;;Erkek;;;;;;;;;;;
Arzu AYDIN;BOLU;;Karadeniz;AK Parti;1969;51;Düzce;Avukat;;Evli;1;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Fehmi KÜPÇÜ;BOLU;;Karadeniz;AK Parti;1974;46;Bolu;Avukat;;Evli;2;Ýstanbul;Hukuk;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Bayram ÖZÇELÝK;BURDUR;;Akdeniz;AK Parti;1966;54;Burdur;Siyasetçi;;Evli;3;Gazi;Týp;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Mehmet GÖKER;BURDUR;;Akdeniz;CHP;1967;53;Burdur;Doktor;;Evli;1;Ege;Týp;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Yasin UÐUR;BURDUR;;Akdeniz;AK Parti;1978;42;Burdur;Siyasetçi;;Evli;3;Süleyman Demirel;Ýktisat;Lisans;?;;Erkek;;;;;;;;;;;
Ahmet KILIÇ;BURSA;;Marmara;AK Parti;1986;34;Bursa;Siyasetçi;;Evli;1;Bahçeþehir;Siyasal;Yükseklisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
